"id","name","code"
"count_1","Austria","AUS"
"count_2","Switzerland","SWZ"
"count_3","Germany","GEM"
"count_4","France","FRA"
"count_5","Norway","NOR"
"count_6","Sweden","SWE"
"count_7","Italy","ITA"
